Running in GHA mode.
Auto-detected latest run: 2026-03-05 00:00 UTC
================================================================
Run init  : 2026-03-05 00:00 UTC (00Z)
Fcst hrs  : 0 to 72
Base URL  : https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/05/00/
Local dir : data/WRF_downloads/20260305
Exclude   : inv
================================================================

Fetching file list from server...
Files in window: 221
  ctl     : 74
  grib2   : 73
  grib2.idx: 74

Already on disk: 10  |  To download: 211


Attaching package: ‘progressr’

The following object is masked from ‘package:httr’:

    progress


[  1/211] OK  h001 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030501.grib2.idx
[  2/211] OK  h002 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030502.ctl
[  3/211] OK  h002 |  189.90 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030502.grib2
[  4/211] OK  h002 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030502.grib2.idx
[  5/211] OK  h003 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030503.ctl
[  6/211] OK  h003 |  191.82 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030503.grib2
[  7/211] OK  h003 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030503.grib2.idx
[  8/211] OK  h004 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030504.ctl
[  9/211] OK  h004 |  193.46 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030504.grib2
[ 10/211] OK  h004 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030504.grib2.idx
[ 11/211] OK  h005 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030505.ctl
[ 12/211] OK  h005 |  195.11 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030505.grib2
[ 13/211] OK  h005 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030505.grib2.idx
[ 14/211] OK  h006 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030506.ctl
[ 15/211] OK  h006 |  195.80 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030506.grib2
[ 16/211] OK  h006 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030506.grib2.idx
[ 17/211] OK  h007 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030507.ctl
[ 18/211] OK  h007 |  196.32 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030507.grib2
[ 19/211] OK  h007 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030507.grib2.idx
[ 20/211] OK  h008 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030508.ctl
[ 21/211] OK  h008 |  197.06 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030508.grib2
[ 22/211] OK  h008 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030508.grib2.idx
[ 23/211] OK  h009 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030509.ctl
[ 24/211] OK  h009 |  197.48 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030509.grib2
[ 25/211] OK  h009 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030509.grib2.idx
[ 26/211] OK  h010 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030510.ctl
[ 27/211] OK  h010 |  198.67 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030510.grib2
[ 28/211] OK  h010 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030510.grib2.idx
[ 29/211] OK  h011 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030511.ctl
[ 30/211] OK  h011 |  199.06 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030511.grib2
[ 31/211] OK  h011 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030511.grib2.idx
[ 32/211] OK  h012 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030512.ctl
[ 33/211] OK  h012 |  199.50 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030512.grib2
[ 34/211] OK  h012 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030512.grib2.idx
[ 35/211] OK  h013 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030513.ctl
[ 36/211] OK  h013 |  199.23 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030513.grib2
[ 37/211] OK  h013 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030513.grib2.idx
[ 38/211] OK  h014 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030514.ctl
[ 39/211] OK  h014 |  200.80 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030514.grib2
[ 40/211] OK  h014 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030514.grib2.idx
[ 41/211] OK  h015 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030515.ctl
[ 42/211] OK  h015 |  201.63 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030515.grib2
[ 43/211] OK  h015 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030515.grib2.idx
[ 44/211] OK  h016 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030516.ctl
[ 45/211] OK  h016 |  202.27 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030516.grib2
[ 46/211] OK  h016 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030516.grib2.idx
[ 47/211] OK  h017 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030517.ctl
[ 48/211] OK  h017 |  202.30 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030517.grib2
[ 49/211] OK  h017 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030517.grib2.idx
[ 50/211] OK  h018 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030518.ctl
[ 51/211] OK  h018 |  203.12 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030518.grib2
[ 52/211] OK  h018 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030518.grib2.idx
[ 53/211] OK  h019 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030519.ctl
[ 54/211] OK  h019 |  203.88 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030519.grib2
[ 55/211] OK  h019 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030519.grib2.idx
[ 56/211] OK  h020 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030520.ctl
[ 57/211] OK  h020 |  202.82 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030520.grib2
[ 58/211] OK  h020 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030520.grib2.idx
[ 59/211] OK  h021 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030521.ctl
[ 60/211] OK  h021 |  201.24 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030521.grib2
[ 61/211] OK  h021 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030521.grib2.idx
[ 62/211] OK  h022 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030522.ctl
[ 63/211] OK  h022 |  198.37 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030522.grib2
[ 64/211] OK  h022 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030522.grib2.idx
[ 65/211] OK  h023 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030523.ctl
[ 66/211] OK  h023 |  196.42 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030523.grib2
[ 67/211] OK  h023 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030523.grib2.idx
[ 68/211] OK  h024 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030600.ctl
[ 69/211] OK  h024 |  195.34 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030600.grib2
[ 70/211] OK  h024 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030600.grib2.idx
[ 71/211] OK  h025 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030601.ctl
[ 72/211] OK  h025 |  195.44 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030601.grib2
[ 73/211] OK  h025 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030601.grib2.idx
[ 74/211] OK  h026 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030602.ctl
[ 75/211] OK  h026 |  194.33 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030602.grib2
[ 76/211] OK  h026 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030602.grib2.idx
[ 77/211] OK  h027 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030603.ctl
[ 78/211] OK  h027 |  194.63 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030603.grib2
[ 79/211] OK  h027 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030603.grib2.idx
[ 80/211] OK  h028 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030604.ctl
[ 81/211] OK  h028 |  195.56 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030604.grib2
[ 82/211] OK  h028 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030604.grib2.idx
[ 83/211] OK  h029 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030605.ctl
[ 84/211] OK  h029 |  195.17 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030605.grib2
[ 85/211] OK  h029 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030605.grib2.idx
[ 86/211] OK  h030 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030606.ctl
[ 87/211] OK  h030 |  195.19 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030606.grib2
